,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
9,0.1375099995101873,AM1BCC,OpenEye,,,H,,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
10,0.1406799980367605,AM1BCC,OpenEye,,,H,,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
11,0.0208299976701919,AM1BCC,OpenEye,,,H,,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
12,0.0197199971343462,AM1BCC,OpenEye,,,H,,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
0,-0.8132,AM1BCC,AmberTools,,,N,,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
1,0.0253,AM1BCC,AmberTools,,,C,,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
2,-0.161,AM1BCC,AmberTools,,,C,,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
3,-0.2063,AM1BCC,AmberTools,,,C,,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
4,0.3472,AM1BCC,AmberTools,,,C,,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
5,-0.635,AM1BCC,AmberTools,,,N,,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
6,0.3372,AM1BCC,AmberTools,,,C,,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
7,0.3928,AM1BCC,AmberTools,,,H,,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
8,0.3928,AM1BCC,AmberTools,,,H,,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
9,0.137,AM1BCC,AmberTools,,,H,,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
10,0.141,AM1BCC,AmberTools,,,H,,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
11,0.0221,AM1BCC,AmberTools,,,H,,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
12,0.0201,AM1BCC,AmberTools,,,H,,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,11.0
0,-0.8192499897514398,AM1BCC,OpenEye,,,N,,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
1,0.029839997824568,AM1BCC,OpenEye,,,C,,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
2,-0.161320003036123,AM1BCC,OpenEye,,,C,,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
3,-0.2046000084911401,AM1BCC,OpenEye,,,C,,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
4,0.3440099933113043,AM1BCC,OpenEye,,,C,,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
5,-0.6317499897514398,AM1BCC,OpenEye,,,N,,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
6,0.3330700077976172,AM1BCC,OpenEye,,,C,,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
7,0.3956299998725836,AM1BCC,OpenEye,,,H,,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
8,0.3956299998725836,AM1BCC,OpenEye,,,H,,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
9,0.1375099995101873,AM1BCC,OpenEye,,,H,,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
10,0.1406799980367605,AM1BCC,OpenEye,,,H,,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
11,0.0208299976701919,AM1BCC,OpenEye,,,H,,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
12,0.0197199971343462,AM1BCC,OpenEye,,,H,,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
0,-0.8132,AM1BCC,AmberTools,,,N,,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
1,0.0253,AM1BCC,AmberTools,,,C,,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
2,-0.161,AM1BCC,AmberTools,,,C,,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
3,-0.2063,AM1BCC,AmberTools,,,C,,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
4,0.3472,AM1BCC,AmberTools,,,C,,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
5,-0.635,AM1BCC,AmberTools,,,N,,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
6,0.3372,AM1BCC,AmberTools,,,C,,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
7,0.3928,AM1BCC,AmberTools,,,H,,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
8,0.3928,AM1BCC,AmberTools,,,H,,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
9,0.137,AM1BCC,AmberTools,,,H,,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
10,0.141,AM1BCC,AmberTools,,,H,,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
11,0.0221,AM1BCC,AmberTools,,,H,,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
12,0.0201,AM1BCC,AmberTools,,,H,,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],3.0,12.0
0,-0.8929916435541164,RESP2,hf/6-31g*,1.0,0.0,N,hf,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
1,0.09992303975381485,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
2,0.045476656757097264,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
3,-0.5059098211642161,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
4,0.41877130018610575,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
5,-0.6495593565234241,RESP2,hf/6-31g*,1.0,0.0,N,hf,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
6,0.3005199410332318,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
7,0.3783747836452612,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
8,0.3723590742389616,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
9,0.12872408567670202,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
10,0.20233952375001774,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
11,0.034979014528201666,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
12,0.06699340167236277,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
0,-0.8991236505903258,RESP2,hf/6-31g*,1.0,0.05,N,hf,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
1,0.10264542704790112,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
2,0.04511381264265738,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
3,-0.5065250674812416,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
4,0.41899600707412915,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
5,-0.653845746926489,RESP2,hf/6-31g*,1.0,0.05,N,hf,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
6,0.30061924904892895,RESP2,hf/6-31g*,1.0,0.05,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
7,0.381109646813714,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
8,0.37496313442786117,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
9,0.1298017318748683,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
10,0.20334736565669032,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
11,0.03537182166600884,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
12,0.06752626874529713,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
0,-0.9052556576265354,RESP2,hf/6-31g*,1.0,0.1,N,hf,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
1,0.10536781434198736,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
2,0.044750968528217465,RESP2,hf/6-31g*,1.0,0.1,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
3,-0.507140313798267,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
4,0.4192207139621525,RESP2,hf/6-31g*,1.0,0.1,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
5,-0.6581321373295538,RESP2,hf/6-31g*,1.0,0.1,N,hf,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
6,0.3007185570646262,RESP2,hf/6-31g*,1.0,0.1,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
7,0.38384450998216685,RESP2,hf/6-31g*,1.0,0.1,H,hf,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
8,0.3775671946167609,RESP2,hf/6-31g*,1.0,0.1,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
9,0.13087937807303454,RESP2,hf/6-31g*,1.0,0.1,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
10,0.20435520756336287,RESP2,hf/6-31g*,1.0,0.1,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
11,0.03576462880381598,RESP2,hf/6-31g*,1.0,0.1,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
12,0.06805913581823146,RESP2,hf/6-31g*,1.0,0.1,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
0,-0.9113876646627448,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
1,0.10809020163607364,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
2,0.0443881244137776,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
3,-0.5077555601152924,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
4,0.41944542085017583,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
5,-0.6624185277326187,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
6,0.30081786508032343,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
7,0.3865793731506196,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
8,0.3801712548056605,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
9,0.13195702427120082,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
10,0.20536304947003545,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
11,0.03615743594162316,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
12,0.06859200289116582,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
0,-0.9175196716989544,RESP2,hf/6-31g*,1.0,0.2,N,hf,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
1,0.11081258893015991,RESP2,hf/6-31g*,1.0,0.2,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
2,0.044025280299337714,RESP2,hf/6-31g*,1.0,0.2,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
3,-0.5083708064323178,RESP2,hf/6-31g*,1.0,0.2,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
4,0.41967012773819923,RESP2,hf/6-31g*,1.0,0.2,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
5,-0.6667049181356833,RESP2,hf/6-31g*,1.0,0.2,N,hf,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
6,0.3009171730960206,RESP2,hf/6-31g*,1.0,0.2,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
7,0.3893142363190724,RESP2,hf/6-31g*,1.0,0.2,H,hf,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
8,0.38277531499456013,RESP2,hf/6-31g*,1.0,0.2,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
9,0.13303467046936707,RESP2,hf/6-31g*,1.0,0.2,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
10,0.20637089137670805,RESP2,hf/6-31g*,1.0,0.2,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
11,0.03655024307943033,RESP2,hf/6-31g*,1.0,0.2,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
12,0.0691248699641002,RESP2,hf/6-31g*,1.0,0.2,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
0,-0.9236516787351639,RESP2,hf/6-31g*,1.0,0.25,N,hf,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
1,0.11353497622424615,RESP2,hf/6-31g*,1.0,0.25,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
2,0.04366243618489781,RESP2,hf/6-31g*,1.0,0.25,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
3,-0.5089860527493433,RESP2,hf/6-31g*,1.0,0.25,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
4,0.41989483462622257,RESP2,hf/6-31g*,1.0,0.25,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
5,-0.6709913085387481,RESP2,hf/6-31g*,1.0,0.25,N,hf,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
6,0.3010164811117178,RESP2,hf/6-31g*,1.0,0.25,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
7,0.39204909948752514,RESP2,hf/6-31g*,1.0,0.25,H,hf,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
8,0.38537937518345977,RESP2,hf/6-31g*,1.0,0.25,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
9,0.13411231666753332,RESP2,hf/6-31g*,1.0,0.25,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
10,0.2073787332833806,RESP2,hf/6-31g*,1.0,0.25,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
11,0.03694305021723749,RESP2,hf/6-31g*,1.0,0.25,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
12,0.06965773703703453,RESP2,hf/6-31g*,1.0,0.25,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
0,-0.9297836857713733,RESP2,hf/6-31g*,1.0,0.30000000000000004,N,hf,1,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
1,0.11625736351833242,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
2,0.043299592070457915,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
3,-0.5096012990663686,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
4,0.42011954151424596,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
5,-0.6752776989418129,RESP2,hf/6-31g*,1.0,0.30000000000000004,N,hf,6,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
6,0.30111578912741493,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
7,0.394783962655978,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,8,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
8,0.38798343537235935,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
9,0.13518996286569956,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:12])[H:13])[N:1]([H:8])[H:9])[H:10],,
